CODING,CODING - MUNICIPALITY,BARANGAY,SITIO,No. of Households,POPULATION - Male,POPULATION - Female,POPULATION - TOTAL,AGE RANGE - 0-14 years old,AGE RANGE - 15-64 years old,AGE RANGE - 65 years old and above,No. of Registered Voters,No. of Philhealth Members/Beneficiaries,No. of 4P's Beneficiaries,Top 3 Employment - 1st,Top 3 Employment - 2nd,Top 3 Employment - 3rd,Top 3 Income Bracket - 1st,Top 3 Income Bracket - 2nd,Top 3 Income Bracket - 3rd,No. of Farmers,No. of Farmer Association,No. of Farm Area (has.),Top 5 Crops/Commodities Planted/Produced - 1st,Top 5 Crops/Commodities Planted/Produced - 2nd,Top 5 Crops/Commodities Planted/Produced - 3rd,Top 5 Crops/Commodities Planted/Produced - 4th,Top 5 Crops/Commodities Planted/Produced - 5th,No. of Water Systems,No. of HH without Toilet Facility,Waste Segregation,Pigs,Cows,Carabao,Horse,Goat,Chicken,Duck,No. of HH with Backyard Garden,Top 3 Common Garden Commodities - 1st,Top 3 Common Garden Commodities - 2nd,Top 3 Common Garden Commodities - 3rd,Housing - Quality of Housing,Dogs,Cats,No. of Vaccinated (Dogs),No. of Vaccinated (Cats),No. of Sectoral Organization,Information Dissemination,Mode of Transportation,No. of HH with access to Electricity,Alternative Source of Electricity
MSU-001,Marawi City,Bangon,Purok 1,85,210,195,405,120,245,40,285,320,45,Farming,Fishing,Trading,₱10000-15000,₱15000-20000,₱5000-10000,45,2,75.5,Rice,Corn,Vegetables,Coconut,Banana,3,8,Yes,120,25,18,5,35,450,85,65,Eggplant,Tomato,Pepper,Mixed,95,45,75,35,3,Social Media,Motorcycle,80,Solar
MSU-002,Marawi City,Bangon,Purok 2,120,298,285,583,175,350,58,412,450,62,Fishing,Farming,Construction,₱15000-20000,₱10000-15000,₱20000-25000,38,1,45.2,Corn,Rice,Cassava,Sweet Potato,Beans,4,12,Yes,95,15,22,3,28,380,62,78,Squash,Okra,Cabbage,Semi-Concrete,125,58,95,42,2,Barangay Assembly,Tricycle,105,Generator
MSU-003,Marawi City,Datu Sa Dansalan,Sitio Maranao,95,235,220,455,136,280,39,322,365,55,Trading,Weaving,Farming,₱20000-25000,₱15000-20000,₱10000-15000,25,1,32.8,Vegetables,Rice,Corn,Peanut,Mongo,2,5,Yes,85,12,15,2,20,320,48,55,Ampalaya,Sitaw,Patola,Concrete,78,42,65,35,4,House-to-House,Jeepney,88,None
MSU-004,Marawi City,Datu Sa Dansalan,Purok Masigla,78,192,185,377,113,232,32,268,298,42,Carpentry,Farming,Vending,₱10000-15000,₱5000-10000,₱15000-20000,32,1,28.5,Rice,Corn,Banana,Papaya,Mango,2,10,No,72,8,12,1,18,275,35,42,Kangkong,Pechay,Gabi,Mixed,65,32,48,25,2,Text Messaging,Motorcycle,72,Solar
MSU-005,Marawi City,Lilod Madaya,Purok Centro,150,375,360,735,220,450,65,520,585,85,Fishing,Farming,Retail,₱15000-20000,₱20000-25000,₱10000-15000,55,3,95.5,Rice,Corn,Fish Farming,Vegetables,Coconut,5,15,Yes,165,35,28,8,45,520,95,98,Tomato,Eggplant,Pepper,Semi-Concrete,145,72,115,55,5,Social Media,Tricycle,135,Generator
MSU-006,Marawi City,Lilod Madaya,Sitio Lakeside,68,168,162,330,99,202,29,234,265,38,Fishing,Fish Vending,Boat Making,₱10000-15000,₱15000-20000,₱5000-10000,18,1,15.2,Fish Farming,Rice,Corn,Vegetables,Seaweed,2,6,Yes,45,5,8,1,12,185,42,35,Malunggay,Kamote,Gabi,Nipa,58,28,42,18,2,Barangay Assembly,Boat,55,Solar
MSU-007,Marawi City,Marinaut East,Purok 1,92,228,218,446,134,275,37,316,358,52,Farming,Livestock Raising,Trading,₱15000-20000,₱10000-15000,₱20000-25000,42,2,55.8,Rice,Corn,Vegetables,Cassava,Sweet Potato,3,8,Yes,110,22,18,4,32,385,68,62,Sitaw,Ampalaya,Patola,Mixed,88,45,68,35,3,House-to-House,Motorcycle,82,None
MSU-008,Marawi City,Marinaut East,Sitio Bagong Silang,55,136,130,266,80,163,23,188,215,32,Construction,Farming,Fishing,₱5000-10000,₱10000-15000,₱15000-20000,22,1,18.5,Corn,Rice,Vegetables,Banana,Papaya,1,12,No,48,8,10,2,15,165,28,28,Pechay,Kangkong,Upo,Salvage,52,25,38,18,1,Text Messaging,Walking,42,Solar
MSU-009,Marawi City,Marinaut West,Purok Sampaguita,110,275,262,537,161,330,46,380,428,62,Trading,Weaving,Farming,₱20000-25000,₱15000-20000,₱25000-30000,35,2,42.5,Rice,Corn,Vegetables,Coconut,Fruit Trees,4,5,Yes,125,18,20,5,28,420,75,72,Talong,Kamatis,Sili,Semi-Concrete,105,52,85,42,4,Social Media,Jeepney,98,Generator
MSU-010,Marawi City,Marinaut West,Sitio Maligaya,75,185,178,363,109,223,31,257,292,42,Farming,Carpentry,Vending,₱10000-15000,₱15000-20000,₱5000-10000,28,1,25.8,Rice,Vegetables,Corn,Cassava,Banana,2,8,Yes,68,10,12,2,18,245,45,48,Malunggay,Sitaw,Ampalaya,Mixed,72,35,55,28,2,Barangay Assembly,Tricycle,68,Solar
